Model,RMSE,MAE,R2
Boosted Trees,2.7993721121582067,2.0037986438118383,0.8948307789039367
Random Forest,3.1045179113947876,2.0933848684210514,0.8706531866818945
Neural Network,3.3366068037311245,2.100142166297772,0.8505907602165734
Decision Tree,3.404119021977562,2.5355263157894736,0.8444833592340152
Post-Lasso,4.6386899261728205,3.162709871457406,0.7112260057484932
OLS,4.6386899261728205,3.162709871457406,0.7112260057484932
Lasso,4.64220386940908,3.1590874064974237,0.7107883305488403
Ridge,4.670250857447764,3.1517749405049327,0.7072830902371282
Elastic Net,4.673698374487732,3.1512176763625375,0.7068507712742373
